Name & Organization,Attachments,Document Title,Description,Technical Area,Indicator,Document Type,Author,Publication Date,WHO-Approved Doc: Check here if this document peer reviewed or from the WHO or CDC,Status,Relevant Pages,Lead Approval Req: Check here if this document requires approval from another lead agency,Thumbnail Image
"Hani Mahmoud, RTSL",1-s2_0-S0277953606004060-main.pdf (https://dl.airtable.com/.attachments/c1cc84b4ab264296df37cbc949451ef3/d3b804e6/1-s2_0-S0277953606004060-main.pdf),"Responding to global infectious disease outbreaks: lessons from SARS on the role of risk perception, communication and management","This article examines the role that risk, and especially the perception and communication of risk played in
driving the economic impact of 2003 SARS outbreak.",Risk Communication,"""15.1 Develop a mechanism to conduct baseline surveys on knowledge, attitudes and practices on priority health threats and on
health seeking practices.""",Guideline,Smith RD,2006,checked,,All,checked,
"Hani Mahmoud, RTSL",Q9-Final-Report.pdf (https://dl.airtable.com/.attachments/625694073fc3703c02468e0ca4086af8/9e4bff49/Q9-Final-Report.pdf),"What are the best ways to engage communities in emergency risk
communication activities to respond to events/ contexts?","This literature review summarizes the best practices for engaging communities, in preparing for and responding to emergencies with public health implications",Risk Communication,"""15.3 Conduct a needs analysis for effectively engaging with civil society groups and key nongovernmental organizations (including
female-oriented organizations), and religious and traditional leaders at the national level."",15.3 Identify focal points for community engagement at the national and subnational levels.",Guideline,"Sopory P, Wilkins L, Day A, et al",2016,checked,,29-49,checked,
"Hani Mahmoud, RTSL",Emergency Risk Communication Lessons Learned from a Rapid Review of Recent Gray Literature on Ebola Zika and Yellow Fever.pdf (https://dl.airtable.com/.attachments/4e12cecc85b0e769e333830d23743e83/b1d51ffc/EmergencyRiskCommunicationLessonsLearnedfromaRapidReviewofRecentGrayLiteratureonEbolaZikaandYellowFever.pdf),"Emergency Risk Communication: Lessons Learned from a Rapid
Review of Recent Gray Literature on Ebola, Zika, and Yellow Fever","This rapid review focuses exclusively on gray literature and seeks to identify the lessons learned from
recent Ebola, Zika, and yellow fever to improve emergency risk communication.",Risk Communication,"""15.1 Communicate in local languages and use appropriate technology for information exchange (dissemination and receiving
feedback from the public)."",""15.1 Develop a mechanism for systematically collecting feedback from the community (such as through telephone hotline, social
media forums, direct engagement)."",15.3 Identify focal points for community engagement at the national and subnational levels.",Case Study,"Toppenberg-Pejcic D, Noyes J, Allen T, et al.",2019,checked,,439-443,checked,
"Hani Mahmoud, RTSL",GW-Report-Ebola-Risk-Communication-Project-LIberia_Lessons-in-Crisis-Communication1.pdf (https://dl.airtable.com/.attachments/e628985e63edbfab6f111954bbcf95b6/d2078739/GW-Report-Ebola-Risk-Communication-Project-LIberia_Lessons-in-Crisis-Communication1.pdf),Ebola risk communication project in Liberia: Lessons in crisis communication,This report seeks to summarize and to discuss the types and qualities of Ebola-related communication strategies used in Liberia during the 2014-2016 Ebola epidemic.,Risk Communication,"""15.2 Establish objectives, communication flow charts, SOPs and ways of working between units, agencies/organizations, for risk
communication and community engagement."",""15.1 Communicate in local languages and use appropriate technology for information exchange (dissemination and receiving
feedback from the public).""",Case Study,"Turner MM, Shaikh H, Rimal RN",2016,,,79-85,checked,
"Hani Mahmoud, RTSL",cerc_2014edition.pdf (https://dl.airtable.com/.attachments/202b51a1a9bf4be2a04430d0c1a09f2b/4dc44ab9/cerc_2014edition.pdf),"Crisis and Emergency Risk Communication (Manual):
Second Edition",This guidance document introduces the principles of and practical tools for risk communication during a crisis or emergency.,Risk Communication,"15.1 Identify and assign spokespersons (holding a certain job position) for public health emergency.,""15.1 Establish a list of key stakeholders in government ministries and among implementing partners. Identify points of contact
for communication including different means for internal information sharing (such as by email, SMS or phone or closed
group social media platforms)."",""15.2 Identify ministries, organizations and key stakeholders involved in risk communication and community engagement."",""15.1 Develop a national multihazard, multisectoral emergency risk communication plan."",""15.3 Conduct a needs analysis for effectively engaging with civil society groups and key nongovernmental organizations (including
female-oriented organizations), and religious and traditional leaders at the national level."",""15.2 Expand information sharing mechanism with other sectors including media, civil society and the private sector."",""15.1 Communicate in local languages and use appropriate technology for information exchange (dissemination and receiving
feedback from the public).""",Guideline,US CDC,2014,checked,,"Ch5,Ch7,Ch7,Ch4,Ch4,Ch6,Ch8/9",checked,
"Hani Mahmoud, RTSL",WHO_ZIKV_RCCE_16_1_eng.pdf (https://dl.airtable.com/.attachments/27bc829dc977f92e3ce8c99155f749d0/60f09049/WHO_ZIKV_RCCE_16_1_eng.pdf),Risk communication in the context of Zika virus,This document is an example of interim guidance for effective risk communication for Zika virus transmission and potential complications from infection.,Risk Communication,"""15.1 Communicate in local languages and use appropriate technology for information exchange (dissemination and receiving
feedback from the public).""",Guideline, World Health Organization,2016,checked,,All,checked,
"Hani Mahmoud, RTSL",9789241597449_eng.pdf (https://dl.airtable.com/.attachments/eb8ba71782b7cbccbd87b11d1b7e15f7/7a9ca01c/9789241597449_eng.pdf),Outbreak communication planning guide,This document seeks to provide guidance to help national authorities apply the World Health Organization outbreak communication principles to outbreak planning and preparation activities.,Risk Communication,"""15.1 Develop a national multihazard, multisectoral emergency risk communication plan."",""15.1 Develop a mechanism for systematically collecting feedback from the community (such as through telephone hotline, social
media forums, direct engagement).""",Guideline, World Health Organization,2008,checked,,All,checked,
"Hani Mahmoud, RTSL",WHO_CDS_2005_32web.pdf (https://dl.airtable.com/.attachments/828cecef406f4e7b845e67161f8c0090/121d7b8f/WHO_CDS_2005_32web.pdf),Best practices for communicating with the public during an outbreak,This report describes infectious disease outbreaks and the many difficult challenges they present for communicators and identifies best practices for communication during an outbreak.,Risk Communication,15.3 Develop and disseminate training on community engagement at the national and subnational levels.,Guideline, World Health Organization,2005,checked,,All,checked,
"Hani Mahmoud, RTSL",WHO_CDS_2005_31_eng.pdf (https://dl.airtable.com/.attachments/10cff7e15e53676eb4d41aab115bfa02/bb10ed4a/WHO_CDS_2005_31_eng.pdf),Effective Media Communication during Public Health Emergencies,"This guidance describes a seven-step process to assist officials and others to communicate effectively
during emergencies.",Risk Communication,"15.1 Identify and assign spokespersons (holding a certain job position) for public health emergency.,""15.1 Develop a national multihazard, multisectoral emergency risk communication plan."",""15.2 Identify ministries, organizations and key stakeholders involved in risk communication and community engagement."",""15.3 Establish a list of key stakeholders � civil society groups, key nongovernmental organizations, key religious and traditional
leaders � at the national level."",""15.3 Establish mechanisms for systematically receiving community feedback through multiple channels including social media
and direct dialogue.""",Guideline, World Health Organization,2005,checked,,"Step 3,Step 2,Step 4,Step 4,Step 5",checked,
"Hani Mahmoud, RTSL",Africa CDC EBS Framework - EN.pdf (https://dl.airtable.com/.attachments/49b0aa4ed1d285a478271a71ac85176e/8b9c99c9/AfricaCDCEBSFramework-EN.pdf),Africa CDC Framework for Event-based Surveillance,This guidance document is intended to serve as an outline that can guide stakeholders interested in implementing event-based surveillance.,Surveillance,"""9.1 Establish event-based surveillance: Establish systems to identify potential events from various other sources (such as media, social media, private sector)."",""9.1 Establish event-based surveillance: Establish a process to identify potential events from communitybased reporting (people identified from the community, verification teams at facilities identified, SOP and flow of information available) and make the data available at all needed levels.""",Guideline,Africa Centres for Disease Control and Prevention,2018,checked,,"All, Module 5/Module 2.2",checked,
"Hani Mahmoud, RTSL",hs_2018_0066.pdf (https://dl.airtable.com/.attachments/643858d61d01287925c3f6841d57d004/2fb9410d/hs_2018_0066.pdf),"Factors Influencing Community Event-based Surveillance: Lessons Learned from
Pilot Implementation in Vietnam","The article describes lessons learned from the implementation of a pilot community event-based surveillance system – the lessons are now being used by the ministry of health in the national scale-up of
the program.",Surveillance,"""9.1 Establish event-based surveillance: Establish a process to identify potential events from communitybased reporting (people identified from the community, verification teams at facilities identified, SOP and flow of information available) and make the data available at all needed levels.""",Example,"Clara A, Dao ATP, Do TT, et al.",2018,checked,,All,checked,
"Hani Mahmoud, RTSL",17-1851.pdf (https://dl.airtable.com/.attachments/ea71c217038e933d5e97867d6b9ea55d/e3982c0c/17-1851.pdf),"Event-Based Surveillance at Community and Healthcare Facilities, Vietnam","This article discusses the pilot of a community event-based surveillance system that resulted in the early
detection and reporting of outbreaks, improved collaboration between relevant sectors, and increased community participation in surveillance and reporting.",Surveillance,"""9.1 Establish event-based surveillance: Establish a process to identify potential events from communitybased reporting (people identified from the community, verification teams at facilities identified, SOP and flow of information available) and make the data available at all needed levels.""",Example,"Clara A, Do TT, Dao ATP, et al.",2017,checked,,All,checked,
"Hani Mahmoud, RTSL",f680460c-f970-48de-a969-e739ed2964f1.tmp (https://dl.airtable.com/.attachments/6f4abc57311ab402ca02748b804eb729/38df6dc8/f680460c-f970-48de-a969-e739ed2964f1.tmp),Early warning epidemic surveillance in the Pacific island nations: an evaluation of the Pacific syndromic surveillance system,"This evaluation assess whether the a surveillance system is meeting its objectives, examines progress made since its last evaluation, and provides recommendations to enhance future performance..",Surveillance,"""9.1 Develop national communicable disease surveillance strategy based on IHR requirements, which includes a list of priority/epidemic-prone diseases and syndromes most relevant to the country.""",Example,"Craig AT, Kama M, Samo M, et al",2016,checked,,All,checked,
"Hani Mahmoud, RTSL",WPSAR_2013_4_3-019.pdf (https://dl.airtable.com/.attachments/d66f5422a91f8ee8a215bddc6dc68185/1b0f9afe/WPSAR_2013_4_3-019.pdf),"Event-based surveillance in Papua New Guinea: strengthening an
International Health Regulations (2005) core capacity","This article reviews the event-based surveillance system of Papua New Guinea and evaluates its performance from 2009 to 2012, sharing lessons that may be useful to other low-resource public health practitioners working in surveillance",Surveillance,9.1 Establish event-based surveillance: Develop guidelines and standard operating procedures for eventbased surveillance.,Example,"Dagina R, Murhekar M, Rosewell A, Pavlin BI",2013,checked,,All,checked,
"Hani Mahmoud, RTSL",CommunityBasedSurveillance_Global-LR.pdf (https://dl.airtable.com/.attachments/b39bec1a61475f7666717cc306fc4742/47a4ba4a/CommunityBasedSurveillance_Global-LR.pdf),"Community-Based Surveillance: guiding
principles",This document outlines the principles used by the IFRC to implement community based surveillance and empower communities to play an essential role in their own health security.,Surveillance,"""9.1 Establish event-based surveillance: Establish a process to identify potential events from communitybased reporting (people identified from the community, verification teams at facilities identified, SOP and flow of information available) and make the data available at all needed levels.""",Guideline,International Federation of Red Cross and Red Crescent Societies,2017,checked,,All,checked,
"Hani Mahmoud, RTSL",EMHJ_2019_25_01_58_65.pdf (https://dl.airtable.com/.attachments/ee23478259e5f80351894e5ab7cd37b7/670eba5c/EMHJ_2019_25_01_58_65.pdf),"Enhancing surveillance for early detection of Zika virus infection:
strategies for the countries of Eastern Mediterranean Region","This study discusses appropriate surveillance strategies and frameworks for the detection of Zika virus infection (which, may also apply to other diseases carried by Aedes mosquitoes)",Surveillance,"""9.1 Establish event-based surveillance: Develop and put in place case definitions and the process of detection, assessment and reporting of the event (clusters or outbreaks) for country priority diseases and disseminate to national and subnational levels.""",Example,"Obtel M, Malik MR, Nguyen TMN, et al",2019,checked,,All,checked,
"Hani Mahmoud, RTSL",jiw376.pdf (https://dl.airtable.com/.attachments/eade68d199c08c5d624e80012b8025a1/5f9afd48/jiw376.pdf),Infectious Disease Surveillance in the Big Data Era: Towards Faster and Locally Relevant Systems,"This article - an opinion piece - reflects on the history of infectious disease surveillance efforts and discusses recent developments related to use of big data for disease surveillance (e.g., Google Flue
Trends).",Surveillance,9.2 Pilot available electronic tools.,Case Study,"Simonsen L, Gog JR, Olson D, Viboud C",2016,checked,,All,checked,
Dawn Mapatano ,3.2.3.2b Antimicrobial resistance (AMR) reporting protocol 2018.pdf (https://dl.airtable.com/.attachments/9536f468f63321526e233ff548593f40/83421bfc/3.2.3.2bAntimicrobialresistanceAMRreportingprotocol2018.pdf),Antimicrobial resistance (AMR) reporting protocol 2018 ,Preparing a National AMR Dataset and Guidelines for EARS Net. ,Antimicrobial Resistance,"""3.2 Develop a national surveillance protocol including: surveillance targets, laboratory standards, priority specimens, pathogens and drug�
bug combinations, defined datasets, metrics, data production, analysis and reporting, quality management, monitoring and evaluation).""",Guideline,European Centre for Disease Prevention and Control ,2018,checked,,18-35,checked,
"Hani Mahmoud, RTSL",WHO_HSE_GCR_LYO_2014_4_eng.pdf (https://dl.airtable.com/.attachments/2f6be1ae6b975402787d2410da599367/3872ef3b/WHO_HSE_GCR_LYO_2014_4_eng.pdf),"Early detection, assessment and response to acute public health events: Implementation of Early Warning and Response with a focus on Event-Based Surveillance",This document aims to provide health authorities with guidance for implementing or enhancing the allhazards early warning and response within national surveillance systems.,Surveillance,"9.1 Develop training materials for disease surveillance for national and subnational levels.,9.1 Develop and implement indicator based surveillance or event-based surveillance (refer to respective column for their benchmarks).,""9.1 Train 70% of health workers (clinicians, laboratorians, surveillance officers) in detection, monitoring and evaluation of
events and cases, with clear guidance for follow-up disseminated at national and intermediate levels; document that health
workers have received training.""",Guideline, World Health Organization,2014,checked,,All,checked,
"Hani Mahmoud, RTSL",WHO_HSE_GAR_DCE_2012_1_eng.pdf (https://dl.airtable.com/.attachments/0c71fd39a48d11b3562c6543079b1c95/7562a337/WHO_HSE_GAR_DCE_2012_1_eng.pdf),Outbreak surveillance and response in humanitarian emergencies,"This document provides a standard framework and best practices for implementing an early warning and
response network and its operation in the field, following humanitarian emergencies.",Surveillance,"""9.3 Produce and disseminate annual and monthly reports based on some analysis (i.e. not only numerical case information)
from the national surveillance team."",""9.1 Disseminate case definitions and process of detection, assessment, and reporting of cases (user manual or guidelines) at national and intermediate levels."",""9.1 Train 70% of health workers (clinicians, laboratorians, surveillance officers) in detection, monitoring and evaluation of
events and cases, with clear guidance for follow-up disseminated at national and intermediate levels; document that health
workers have received training.""",Guideline, World Health Organization,2012,checked,,"Section 12, Section 5/Annex 3, Sections 15-17",checked,
"Hani Mahmoud, RTSL",9789290613213_eng.pdf (https://dl.airtable.com/.attachments/2698765662a83da7274b6f84c31bbfb2/9b906e86/9789290613213_eng.pdf),Guide to Establishing Event-based Surveillance,This guide was developed to inform the design of event-based surveillance systems and presents a thorough comparison of event-based and indicator-based surveillance systems.,Surveillance,"""9.1 Establish event-based surveillance: Establish a process to identify potential events from communitybased reporting (people identified from the community, verification teams at facilities identified, SOP and flow of information available) and make the data available at all needed levels.""",Guideline, World Health Organization WPRO,2008,checked,,All,checked,
"Hani Mahmoud, RTSL",IDSR-Technical-Guidelines_Final_2010_0.pdf (https://dl.airtable.com/.attachments/21f27d572225e8decc1858f60987f056/f0e70f77/IDSR-Technical-Guidelines_Final_2010_0.pdf),"Technical Guidelines for Integrated Disease Surveillance and Response in the
African Region","These guidelines are intended to be used as (i) a general reference for surveillance activities, (ii) a resource for developing training, supervision and evaluation of surveillance activities, and (iii) a guide for
improving early detection and preparedness for outbreak response.",Surveillance,"""9.1 Disseminate case definitions and process of detection, assessment, and reporting of cases (user manual or guidelines) at national and intermediate levels."",9.3 Conduct training on data analysis at national and intermediate levels.,""9.1 Establish a process to ensure that reported cases or events with outbreak potential are investigated and assessed for public
health response and linked to the laboratory results, and that data from the investigation are managed in a standardized
timeframe and manner."",9.1 Establish a disease surveillance unit or department and finalize the operational plan and process.,""9.1 Establish a process of immediate and weekly reporting from every reporting unit, although reports may not be available for
every week."",9.1 Develop and implement an operational plan for ongoing evaluation of the surveillance system at all levels.",Guideline, World Health Organization AFRO,2010,checked,,"Sections 1/2 ,Section 3, Section 4, Sections 5/6, Section 7, Section 8",checked,
"Hani Mahmoud, RTSL",,"A Guide for Establishing, Operating and Evaluating an Emergency Operations Centre","This guide is based on an all-hazards approach and is intended to guide the efforts of community leaders, institutional policy makers, health services providers, emergency planners and managers, and others who are responsible for the management of the health-related consequences of emergency events.",Emergency Response Operations,"12.2 Establish a functioning health EOC with the capacity to coordinate emergency operations in the event of an emergency.,""12.2 Form a steering committee or other management structure to develop objectives, essential functions and core components;
oversee the EOC and monitor and evaluate its use."",""12.2 Develop an EOC implementation plan that includes both the planning and development of the EOC (as outlined in public
health emergency operations centre network framework) and the costing, funding and sustainability of the EOC."",12.2 Develop an EOC activation plan that includes scaled level of response with resource requirements at each level.,""12.2 Establish a functional national EOC that includes dedicated plan and procedures, a secure physical space, an information and
communication technology infrastructure for information management and support of emergency operations, and trained staff.""",Guideline, World Health Organization-WPRO,2006,checked,,"All,Chapter 5,Chapter 2,Chapter 4,All",checked,
"Hani Mahmoud, RTSL",WHO_HSE_GCR_2014_1_eng.pdf (https://dl.airtable.com/.attachments/b0810d6b4417a0e6186e3b3f67323cc2/31904446/WHO_HSE_GCR_2014_1_eng.pdf),A systematic review of public health emergency operations centres (‎EOC)‎,This literature review examines the peer-reviewed and grey literature in order to document global best practices for effective public health emergency response by EOCs; to identify indicators to monitor EOC performance; to describe risk communication in EOC settings; to outline research needs; and to identify standardized terminology.,Emergency Response Operations,"""12.2 Develop and implement a training programme for national EOC staff including management, communications, finance and logistics.""",Manual, World Health Organization,2013,checked,,"30-32,All,35-36",checked,
"Hani Mahmoud, RTSL",1-s2_0-S1995764515000838-main.pdf (https://dl.airtable.com/.attachments/01cc314ba1f4b4c1f41700cfd352f2fe/1df2ca0c/1-s2_0-S1995764515000838-main.pdf),Analysis of good practice of public health Emergency Operations Centers,"This literature review focuses on public health emergency operations centers in the United States, the European Union, the United Kingdom, and Australia, with the intent of summarizing good practice for the improvement of other EOCs.",Emergency Response Operations,12.2 Establish a functioning health EOC with the capacity to coordinate emergency operations in the event of an emergency.,Case Study,"Xu, Min; Li, Shi-Xue",2015,checked,,All,checked,
"Hani Mahmoud, RTSL",emergency_preparedness_what_every_health_care_worker_needs_to_know.pdf (https://dl.airtable.com/.attachments/1ca4fc761eeb97aa7eb21ee0d2a07e87/f632710d/emergency_preparedness_what_every_health_care_worker_needs_to_know.pdf),Emergency preparedness: what every health care worker needs to know,This article reviews the basic concepts in emergency preparedness with an emphasis on integration into a health system.,Emergency Response Operations,"""12.2 Form a steering committee or other management structure to develop objectives, essential functions and core components;
oversee the EOC and monitor and evaluate its use.""",Manual,"Christian, Michael D.; Kollek, Daniel; Schwartz, Brian",2005,checked,,All,checked,
"Hani Mahmoud, RTSL",9789241512299-eng.pdf (https://dl.airtable.com/.attachments/9385ba8f8c6ca7d69613505d643a0ce0/de2b7426/9789241512299-eng.pdf),Emergency Response Framework (ERF),"This document delineates the WHO’s roles , responsibilities, and approach for its work in emergencies.",Emergency Response Operations,"""12.1 Establish an incident management system for managing emergency response at the national level, including participation
of relevant sectors.""",Manual, World Health Organization,2017,checked,,Chapter 3,checked,
"Hani Mahmoud, RTSL",9789241509398_eng.pdf (https://dl.airtable.com/.attachments/31ca26bb88e477509ff785043bbc86c9/7f4803de/9789241509398_eng.pdf),First consultation meeting on a framework for public health emergency operations centres,This report summarizes the discussions and agreements at a consultative meeting focusing on emergency operations centers.,Emergency Response Operations,"""12.2 Establish a functional national EOC that includes dedicated plan and procedures, a secure physical space, an information and
communication technology infrastructure for information management and support of emergency operations, and trained staff."",""12.2 Develop and implement a training programme for national EOC staff including management, communications, finance and logistics.""",Manual, World Health Organization,2015,checked,,15-36,checked,
"Hani
  Mahmoud, RTSL",9789241565134_eng.pdf (https://dl.airtable.com/.attachments/0754fdadf357b5683cb13c200547d810/6fb9dd83/9789241565134_eng.pdf),"Framework for a Public
  Health Emergency Operations Centre","This document
  outlines the key concepts and essential requirements for developing and
  managing a public health emergency operations center.",Emergency Response Operations,"""12.1 Establish an incident management system for managing emergency response at the national level, including participation
of relevant sectors."",""12.1 Develop a training plan for emergency response staff, including on the incident management system, and implement it at
least at the national level."",""12.1 Conduct, at least every two years, an emergency response exercise or after-action review with a focus on coordination
between national and subnational levels."",""12.1 Evaluate, document and disseminate information on activations, and if done, include exercises to promote continuous
improvement in communication and coordination."",""12.2 Form a steering committee or other management structure to develop objectives, essential functions and core components;
oversee the EOC and monitor and evaluate its use."",""12.2 Develop and implement a training programme for national EOC staff including management, communications, finance and logistics."",12.3 Develop and implement a corrective action plan based on the exercises and after-action review findings.",Manual, World Health Organization,2015,checked,,"Chapter 5/Annex 2, Chapter 7, Chapter 7/Annex 7/8, Chapter 8, Chapter 4, Ch 7, Ch 7/8/Annex 7/8",checked,
"Hani
  Mahmoud, RTSL",003335491212700306.pdf (https://dl.airtable.com/.attachments/c28ab2bdb46b4a41dc5cf104bedc6722/f0a63d8d/003335491212700306.pdf),"From SARS to 2009 H1N1
  Influenza: The Evolution of a Public Health Incident Management System at CDC","This article
  describes the U.S. CDC's challenges and solutions for including traditional
  public health response functions within the national incident management
  system.",Emergency Response Operations,"""12.1 Establish an incident management system for managing emergency response at the national level, including participation
of relevant sectors.""",Case Study,"Papagiotas, Stephen S.;
  Frank, Mark; Bruce, Sherrie; Posid, Joseph M.",2012,checked,,All,checked,
"Hani Mahmoud, RTSL",9789241515122-eng.pdf (https://dl.airtable.com/.attachments/d3fa4c244e8193e49b9456d605dd1e40/1f31fa18/9789241515122-eng.pdf),"Handbook
  for Developing a Public Health Emergency Operations Centre Part A: Policies,
  Plans and Procedures","This
  document provides detailed guidance for developing and implementing policies,
  plans and procedures for the WHO’s framework for a public health emergency
  operations center.",Emergency Response Operations,"12.2 Establish a functioning health EOC with the capacity to coordinate emergency operations in the event of an emergency.,""12.2 Form a steering committee or other management structure to develop objectives, essential functions and core components;
oversee the EOC and monitor and evaluate its use."",""12.2 Develop an EOC implementation plan that includes both the planning and development of the EOC (as outlined in public
health emergency operations centre network framework) and the costing, funding and sustainability of the EOC."",""12.2 Establish a functional national EOC that includes dedicated plan and procedures, a secure physical space, an information and
communication technology infrastructure for information management and support of emergency operations, and trained staff.""",Guideline, World Health Organization,2018,checked,,"19/All,9 to 11,All,All",checked,
"Hani
  Mahmoud, RTSL",9789241515139-eng.pdf (https://dl.airtable.com/.attachments/06ff4d239e3821cbbcc4becf242abd66/b315a922/9789241515139-eng.pdf),"Handbook for
  Developing a Public Health Emergency Operations Centre Part C: Training and
  Exercises","This document
  provides detailed guidance for developing and implementing trainings and
  exercises for the WHO’s framework for a public health emergency operations
  center.",Emergency Response Operations,"""12.2 Develop and implement a training programme for national EOC staff including management, communications, finance and logistics."",""12.2 Conduct a simulated exercise or demonstrate in response to a real event that the national EOC can be activated within
120 minutes of receiving an early warning or information of an emergency requiring EOC activation.""",Guideline, World Health Organization,2018,checked,,All,checked,
"Hani Mahmoud, RTSL",Incident Management System (Tier 1) _ OpenWHO.pdf (https://dl.airtable.com/.attachments/1adeca9d247ae8f5e955f34f0752f798/c8a29af2/IncidentManagementSystemTier1_OpenWHO.pdf),"Incident Management
  System (Tiers 1 and 2)","This 3-hour training
  seeks to provide individuals with a foundational understanding of the World
  Health
    Organization’s Incident Management System (IMS) structure and its
  procedures.",Emergency Response Operations,"""12.1 Establish an incident management system for managing emergency response at the national level, including participation
of relevant sectors.""",Training Package, World Health Organization, ,checked,,All,checked,
"Hani Mahmoud, RTSL",Principles of Emergency Management and Emergency Operations Centers (EOC) - CRC Press Book.pdf (https://dl.airtable.com/.attachments/a0f38a314f00478dd869e2e1304a37b2/a63e62a0/PrinciplesofEmergencyManagementandEmergencyOperationsCentersEOC-CRCPressBook.pdf),"Principles
  of emergency management and emergency operations centers (EOC)","This
  book is based on more than four decades of experience and provides a clear
  and up-to-date understanding of how an EOC should operate within the guidance
  of various federal and national programs.",Emergency Response Operations,"""12.2 Form a steering committee or other management structure to develop objectives, essential functions and core components;
oversee the EOC and monitor and evaluate its use."",""12.2 Conduct a simulated exercise or demonstrate in response to a real event that the national EOC can be activated within
120 minutes of receiving an early warning or information of an emergency requiring EOC activation.""",Manual,"Fagel,
  Michael J",2011,,,"57-63 & 281-299,163-281",checked,
"Hani Mahmoud, RTSL",8332-Article Text-54987-1-10-20160831.pdf (https://dl.airtable.com/.attachments/1d89958840636f12eb02db7aab253f0b/af5af17e/8332-ArticleText-54987-1-10-20160831.pdf),Public Health Emergency Operations Center - A critical component of mass gatherings management infrastructure,"This article outlines
  the essential concepts, elements, design, and operational aspects of public
  health emergency operations centers during mass gathering events.",Emergency Response Operations,"""12.2 Establish a functional national EOC that includes dedicated plan and procedures, a secure physical space, an information and
communication technology infrastructure for information management and support of emergency operations, and trained staff.""",Manual,"Elachola, Habidah;
  Al-Tawfiq, Jaffar A; Turkestani, Abdulhafiz; Memish, Ziad A",2016,checked,,3 to 5,checked,
"Hani Mahmoud, RTSL",9789241509787_eng.pdf (https://dl.airtable.com/.attachments/d9599f79aba219bb8d52840889c524c7/56402ad2/9789241509787_eng.pdf),"Summary
  report of systematic reviews for public health emergency operations centres","This
  WHO report summarized the methodology, results and conclusions of = four
  systematic reviews conducted on EOCS.",Emergency Response Operations,"""12.2 Establish a functional national EOC that includes dedicated plan and procedures, a secure physical space, an information and
communication technology infrastructure for information management and support of emergency operations, and trained staff."",""12.2 Develop and implement a training programme for national EOC staff including management, communications, finance and logistics.""",Manual, World Health Organization,2015,checked,,All,checked,
"Hani Mahmoud, RTSL",17-0435.pdf (https://dl.airtable.com/.attachments/e25aea6e8896588ceefaa9d18a0e85ac/e9f01e29/17-0435.pdf),"Sustainable Model for
  Public Health Emergency Operations Centers for Global Settings","This article presents
  two case studies to examine how to develop sustainable models for public
  health emergency operation centers.",Emergency Response Operations,"""12.2 Establish a functional national EOC that includes dedicated plan and procedures, a secure physical space, an information and
communication technology infrastructure for information management and support of emergency operations, and trained staff.""",Case Study,"Balajee SA, Pasi OG,
  Etoundi AGM, et al.",2017,checked,,All,checked,
"Dawn Mapatano, CDC ",GDDOC_EBS_Training_Mod. 0.pdf (https://dl.airtable.com/.attachments/7e262be3c220b7b9020207d0c947eb2f/a17b5d48/GDDOC_EBS_Training_Mod.0.pdf),Overview of Event-based Surveillance for Early Warning,"Early detection, assessment and response to acute public health events: Implementation of Early Warning and Response with a focus on Event-Based Surveillance. WHO 2014",Surveillance,9.1 Establish indicator-based surveillance: Develop guidelines and SOPs for indicator-based surveillance.,Training Package,CDC Global Disease Detection Operations Center,2019,checked,,All ,checked,
"Dawn Mapatano, CDC ",GDDOC_EBS_Training_Mod. 0.pdf (https://dl.airtable.com/.attachments/f56d33a8f3c4c984657fbfbe322888ba/30dab1a9/GDDOC_EBS_Training_Mod.0.pdf),Overview of Event-based Surveillance for Early Warning ,"Early detection, assessment and response to acute public health events: Implementation of Early Warning and Response with a focus on Event-Based Surveillance.",Surveillance,9.1 Establish indicator-based surveillance: Develop guidelines and SOPs for indicator-based surveillance.,Training Package,CDC Global Disease Detection Operations Center,All ,checked,,All ,checked,
"Dawn Mapatano, CDC ",GDDOC_EBS_Training_Mod. 1.pdf (https://dl.airtable.com/.attachments/eb7fa15635b0048e9cf1f21e63e47057/63e2098b/GDDOC_EBS_Training_Mod.1.pdf),Event Based Surveillance ,"Identify public health advantages of implementing EBS and early warning systems, Understand the contexts for indicator based (IBS) and event-based surveillance (EBS), Describe key terms in EBS and early warning, Identify the 3 phases of EBS (detect, verify, communicate), Identify resources needed to implement and sustain EBS activities",Surveillance,"9.1 Establish event-based surveillance: Develop guidelines and standard operating procedures for eventbased surveillance.,9.1 Establish indicator-based surveillance: Develop guidelines and SOPs for indicator-based surveillance.,""9.1 Train 70% of health workers (clinicians, laboratorians, surveillance officers) in detection, monitoring and evaluation of
events and cases, with clear guidance for follow-up disseminated at national and intermediate levels; document that health
workers have received training."",""9.1 Establish a process of immediate and weekly reporting from every reporting unit, although reports may not be available for
every week."",""9.1 Establish a process to ensure that reported cases or events with outbreak potential are investigated and assessed for public
health response and linked to the laboratory results, and that data from the investigation are managed in a standardized
timeframe and manner.""",Training Package,CDC Global Disease Detection Operations Center,2019,,,All ,checked,
